Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Festival bob'arts,Musique,Annuelle,Aout,"46.6346200347,1.10013221164",Le Blanc,Centre-Val de Loire,36300,2013
Festival du livre de jeunesse de rouen,Livre,Annuelle,Novembre,"49.4413460103,1.09256784278",Rouen,Normandie,76000,1983
"Festival vo/vf, la parole aux traducteurs",Livre,Annuelle,Octobre,"48.6988273634,2.12788365005",Gif Sur Yvette,Île-de-France,91190,2013
Salon de la bande dessinée sobd,Livre,Annuelle,Decembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2011
Le chez oim fest,Musique,Annuelle,Juin,"50.3091545259,3.02186108116",Noyelles Sous Bellonne,Hauts-de-France,62490,2014
Art contemporain en milieu rural,Arts visuels,Annuelle,Juin,"48.5051745323,6.01397377452",Goviller,Grand Est,54330,1993
Les agites du bocal a nivillac,Théâtre,Annuelle,Juin,"47.5405533272,-2.24923467173",Nivillac,Bretagne,56130,
Musiques metisses a colmar,Musique,Annuelle,Mai,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,1997
Tendance clown,Théâtre,Annuelle,Mai,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2006
Festival berry lait,Musique,Annuelle,Mai,"46.8029617828,1.69399812001",Chateauroux,Centre-Val de Loire,36000,2014
Dixie folies,Musique,Annuelle,Mai,"46.1620643972,-1.17465702836",La Rochelle,Nouvelle-Aquitaine,17000,
Facs,Musique,Annuelle,Mai,"46.8545755683,-0.479375922286",Bressuire,Nouvelle-Aquitaine,79300,
Respire jazz festival,Musique,Annuelle,Juin,"45.4225777872,0.127349505692",Montmoreau,Nouvelle-Aquitaine,16190,2013
"Festival maghreb, si loin, si proche - aude/pyrénées orientales",Cinéma,Annuelle,Janvier,"42.5352193463,3.02429862885",Argeles Sur Mer,Occitanie,66700,1998
Faites l'europe / fete de l'europe,Musique,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2006
La duberie,Musique,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Clari'jazz festival,Musique,Annuelle,Juin,"43.3049878647,1.10662037582",Marignac Lasclares,Occitanie,31430,2012
Coulée douce,Théâtre,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2004
Archifête,Théâtre,Annuelle,Juin,"49.3807622557,1.03422612047",Petit Couronne,Normandie,76650,
Canal en scène,Musique,Annuelle,Juin,"47.4628210409,-1.76789479614",Blain,Pays de la Loire,44130,
Festival les vagamondes,Divers,Annuelle,Janvier,"47.749163303,7.32570047509",Mulhouse,Grand Est,68200,2013
Les fous rires de bordeaux,Théâtre,Annuelle,Mars,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2017
Jazzenville,Musique,Annuelle,Mars,"49.0001007823,2.0990719052",Conflans Ste Honorine,Île-de-France,78700,2004
Transfer,Musique,Annuelle,Mars,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2017
Humour en weppes,Théâtre,Annuelle,Mars,"50.5397647046,2.80910290453",La Bassee,Hauts-de-France,59480,2013
Le printemps etudiant,Musique,Annuelle,Avril,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,1998
La tete dans les nuages,Théâtre,Annuelle,Mars,"45.6472585146,0.14514490683",Angouleme,Nouvelle-Aquitaine,16000,1997
Femin'arte,Théâtre,Annuelle,Mars,"43.587465146,7.10635418256",Antibes,Provence-Alpes-Côte d'Azur,06160,1997
Super flux,Musique,Annuelle,Mars,"47.3986382281,0.696526376417",Tours,Centre-Val de Loire,37000,2014
Littérature au centre,Livre,Annuelle,Mars,"45.7856492991,3.11554542903",Clermont Ferrand,Auvergne-Rhône-Alpes,63100,2015
Journées du livre et du vin,Divers,Annuelle,Avril,"47.2673853525,-0.0830410591988",Saumur,Pays de la Loire,49400,1996
Detours de chant,Musique,Annuelle,Janvier,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2002
Salon du livre autour du polar,Livre,Annuelle,Janvier,"48.2596067909,2.71107993087",Nemours,Île-de-France,77140,2017
Momix,Théâtre,Annuelle,Janvier,"47.7889765168,7.32299335222",Kingersheim,Grand Est,68260,
La route du rock - collection hiver,Musique,Annuelle,Fevrier,"48.6400443482,-1.98060627256",St Malo,Bretagne,35400,2006
Cernunnos pagan fest,Musique,Annuelle,Fevrier,"48.8460926469,2.61997100426",Noisiel,Île-de-France,77186,2009
Wintower,Musique,Annuelle,Fevrier,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2019
Salon international du livre rare et de l’objet d’art,Divers,Annuelle,Avril,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,1989
