Mois,Annee,Thematiques,TF1,France 2,France 3,Canal +,Arte,M6,Totaux
janv.,05,Catastrophes,05:39:50,05:13:56,02:35:01,00:22:41,00:51:51,01:07:28,15:50:47
janv.,05,Culture-loisirs,00:50:22,01:24:04,01:12:27,00:04:12,00:00:00,00:27:44,03:58:49
janv.,05,Economie,00:52:25,00:31:12,00:16:39,00:01:59,00:07:59,00:11:04,02:01:18
janv.,05,Education,00:22:00,00:20:42,00:09:46,00:02:18,00:04:35,00:13:10,01:12:31
janv.,05,Environnement,00:45:00,00:32:55,00:23:09,00:00:41,00:02:16,00:09:46,01:53:47
janv.,05,Faits divers,00:37:28,00:27:43,00:15:50,00:01:22,00:00:20,00:10:33,01:33:16
janv.,05,Histoire-hommages,01:14:51,01:31:55,01:00:48,00:08:46,00:41:48,00:29:23,05:07:31
janv.,05,International,01:09:26,01:19:04,01:19:43,00:20:43,02:29:47,00:17:13,06:55:56
janv.,05,Justice,00:26:05,00:43:00,00:24:25,00:14:52,00:07:32,00:04:30,02:00:24
janv.,05,Politique France,00:35:29,00:31:45,00:42:48,00:03:19,00:35:50,00:05:06,02:34:17
janv.,05,Santé,00:31:40,00:31:11,00:26:56,00:00:00,00:03:22,00:15:01,01:48:10
janv.,05,Sciences et techniques,00:43:20,00:22:12,00:18:28,00:05:12,00:01:30,00:10:16,01:40:58
janv.,05,Société,03:30:24,03:25:41,01:44:07,00:24:42,00:29:39,00:56:01,10:30:34
janv.,05,Sport,00:44:03,00:57:18,00:23:25,00:04:30,00:00:00,00:21:44,02:31:00
fevr.,05,Catastrophes,00:59:30,00:45:06,00:18:30,00:04:44,00:19:27,00:09:43,02:37:00
fevr.,05,Culture-loisirs,01:05:39,02:10:57,00:49:30,00:09:28,00:03:50,00:42:28,05:01:52
fevr.,05,Economie,01:03:26,01:14:19,00:37:49,00:01:53,00:08:35,00:11:46,03:17:48
fevr.,05,Education,00:41:14,00:44:28,00:37:44,00:06:16,00:11:49,00:12:49,02:34:20
fevr.,05,Environnement,01:06:33,00:41:50,00:18:12,00:00:00,00:13:31,00:10:14,02:30:20
